gtpath, predpath, gt numsyms, pred numsyms, SEC (symbol edit cost), SECR (SEC / total numsyms)
/Users/gregc/Documents/test/greg_results/gt/41_.kern, /Users/gregc/Documents/test/greg_results/pred/41_.kern, 159, 146, 207, 0.6786885245901639
/Users/gregc/Documents/test/greg_results/gt/156_.kern, /Users/gregc/Documents/test/greg_results/pred/156_.kern, 280, 265, 286, 0.5247706422018349
/Users/gregc/Documents/test/greg_results/gt/113_.kern, /Users/gregc/Documents/test/greg_results/pred/113_.kern, 198, 201, 189, 0.47368421052631576
/Users/gregc/Documents/test/greg_results/gt/39_.kern, /Users/gregc/Documents/test/greg_results/pred/39_.kern, 296, 282, 117, 0.20242214532871972
/Users/gregc/Documents/test/greg_results/gt/297_.kern, /Users/gregc/Documents/test/greg_results/pred/297_.kern, 178, 177, 237, 0.6676056338028169
/Users/gregc/Documents/test/greg_results/gt/196_.kern, /Users/gregc/Documents/test/greg_results/pred/196_.kern, 341, 340, 457, 0.671071953010279
/Users/gregc/Documents/test/greg_results/gt/502_.kern, /Users/gregc/Documents/test/greg_results/pred/502_.kern, 161, 119, 204, 0.7285714285714285
/Users/gregc/Documents/test/greg_results/gt/332_.kern, /Users/gregc/Documents/test/greg_results/pred/332_.kern, 252, 261, 305, 0.594541910331384
/Users/gregc/Documents/test/greg_results/gt/377_.kern, /Users/gregc/Documents/test/greg_results/pred/377_.kern, 181, 235, 306, 0.7355769230769231
/Users/gregc/Documents/test/greg_results/gt/521_.kern, /Users/gregc/Documents/test/greg_results/pred/521_.kern, 307, 309, 366, 0.5941558441558441
/Users/gregc/Documents/test/greg_results/gt/249_.kern, /Users/gregc/Documents/test/greg_results/pred/249_.kern, 347, 350, 264, 0.3787661406025825
/Users/gregc/Documents/test/greg_results/gt/148_.kern, /Users/gregc/Documents/test/greg_results/pred/148_.kern, 235, 204, 241, 0.5489749430523918
/Users/gregc/Documents/test/greg_results/gt/484_.kern, /Users/gregc/Documents/test/greg_results/pred/484_.kern, 401, 355, 513, 0.6785714285714286
/Users/gregc/Documents/test/greg_results/gt/479_.kern, /Users/gregc/Documents/test/greg_results/pred/479_.kern, 210, 213, 285, 0.6737588652482269
/Users/gregc/Documents/test/greg_results/gt/4_.kern, /Users/gregc/Documents/test/greg_results/pred/4_.kern, 282, 302, 469, 0.803082191780822
/Users/gregc/Documents/test/greg_results/gt/354_.kern, /Users/gregc/Documents/test/greg_results/pred/354_.kern, 189, 199, 238, 0.6134020618556701
/Users/gregc/Documents/test/greg_results/gt/311_.kern, /Users/gregc/Documents/test/greg_results/pred/311_.kern, 202, 176, 314, 0.8306878306878307
/Users/gregc/Documents/test/greg_results/gt/444_.kern, /Users/gregc/Documents/test/greg_results/pred/444_.kern, 312, 270, 452, 0.7766323024054983
/Users/gregc/Documents/test/greg_results/gt/394_.kern, /Users/gregc/Documents/test/greg_results/pred/394_.kern, 253, 171, 311, 0.7334905660377359
/Users/gregc/Documents/test/greg_results/gt/27_.kern, /Users/gregc/Documents/test/greg_results/pred/27_.kern, 216, 212, 220, 0.514018691588785
/Users/gregc/Documents/test/greg_results/gt/289_.kern, /Users/gregc/Documents/test/greg_results/pred/289_.kern, 146, 115, 157, 0.6015325670498084
/Users/gregc/Documents/test/greg_results/gt/62_.kern, /Users/gregc/Documents/test/greg_results/pred/62_.kern, 371, 287, 435, 0.6610942249240122
/Users/gregc/Documents/test/greg_results/gt/130_.kern, /Users/gregc/Documents/test/greg_results/pred/130_.kern, 342, 338, 565, 0.8308823529411765
